id;fornecedor_lista;data_lista_preco;marca;tipo_preco;descricao;largura;profundidade;altura;m3;G0;G1;G2;G3;G4;G5;G6;G7;G8
1;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:081 - S/Br) - 0,81";001;000;001;0.001;"$ 490,54";"$ 500,42";"$ 515,96";"$ 530,08";"$ 545,61";"$ 561,14";"$ 576,68";"$ 603,51";"$ 647,28"
2;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:091 - S/Br) - 0,91";001;000;001;0.001;"$ 528,97";"$ 539,66";"$ 556,45";"$ 571,72";"$ 588,51";"$ 605,30";"$ 622,09";"$ 651,10";"$ 698,42"
3;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:101 - S/Br) - 1,01";001;000;001;0.001;"$ 575,04";"$ 586,52";"$ 604,58";"$ 620,99";"$ 639,04";"$ 657,09";"$ 675,14";"$ 706,33";"$ 757,20"
4;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:111 - S/Br) - 1,11";001;000;001;0.001;"$ 614,23";"$ 626,52";"$ 645,83";"$ 663,39";"$ 682,70";"$ 702,01";"$ 721,32";"$ 754,68";"$ 809,10"
5;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:121 - S/Br) - 1,21";001;000;001;0.001;"$ 652,66";"$ 665,76";"$ 686,33";"$ 705,03";"$ 725,60";"$ 746,17";"$ 766,74";"$ 802,27";"$ 860,25"
6;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:131 - S/Br) - 1,31";001;000;001;0.001;"$ 691,10";"$ 704,99";"$ 726,82";"$ 746,67";"$ 768,50";"$ 790,33";"$ 812,16";"$ 849,86";"$ 911,39"
7;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:081 - 1Br:031) - 1,12";001;000;001;0.001;"$ 640,13";"$ 654,15";"$ 676,19";"$ 696,23";"$ 718,27";"$ 740,31";"$ 762,35";"$ 800,42";"$ 862,54"
8;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:091 - 1Br:031) - 1,22";001;000;001;0.001;"$ 678,56";"$ 693,39";"$ 716,69";"$ 737,87";"$ 761,17";"$ 784,47";"$ 807,77";"$ 848,01";"$ 913,68"
9;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:101 - 1Br:031) - 1,32";001;000;001;0.001;"$ 717,76";"$ 733,38";"$ 757,94";"$ 780,27";"$ 804,83";"$ 829,39";"$ 853,95";"$ 896,37";"$ 965,58"
10;Premium furniture for export | Made in Brazil;20/10/2025;Affair;EXW;"Modulo (1Ass:111 - 1Br:031) - 1,42";001;000;001;0.001;"$ 756,19";"$ 772,62";"$ 798,44";"$ 821,91";"$ 847,73";"$ 873,55";"$ 899,37";"$ 943,96";"$ 1.016,72"
