Sheet: Planilha1
R1: MODELO | MODELO | COMP. 
MONTADO | PROF.
MONTADO | ALTURA
MONTADO | COMP (m)
EMABALADO | PROF (m)
EMBALADO | ALTURA (m)
EMBALADO | VOL (m³) | QTD NO CAMINHÃO | QTD NO CONTAINER | COMPOSIÇÃO | LINHA | VALOR EM REAIS (UND) | None | None | None | None | None | None
R2: None | DAMMAN | 2.1 | 1.2 | 1.15 | 2.12 | 1.22 | 0.75 | 1.9398 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1695 | None | None | None | None | None | None
R3: None | DAMMAN | 2.1 | 1.2 | 1.15 | 2.12 | 1.22 | 0.75 | 1.9398 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1584 | None | None | None | None | None | None
R4: None | DAMMAN | 2.1 | 1.2 | 1.15 | 2.12 | 1.22 | 0.75 | 1.9398 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 1775 | None | None | None | None | None | None
R5: None | DAMMAN | 2.1 | 1.2 | 1.15 | 2.12 | 1.22 | 0.75 | 1.9398 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 1852 | None | None | None | None | None | None
R6: None | DAMMAN | 2.3 | 1.2 | 1.15 | 2.32 | 1.22 | 0.75 | 2.1228 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1840 | None | None | None | None | None | None
R7: None | DAMMAN | 2.3 | 1.2 | 1.15 | 2.32 | 1.22 | 0.75 | 2.1228 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1728 | None | None | None | None | None | None
R8: None | DAMMAN | 2.3 | 1.2 | 1.15 | 2.32 | 1.22 | 0.75 | 2.1228 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 1928 | None | None | None | None | None | None
R9: None | DAMMAN | 2.3 | 1.2 | 1.15 | 2.32 | 1.22 | 0.75 | 2.1228 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2012 | None | None | None | None | None | None
R10: None | DAMMAN | 2.5 | 1.2 | 1.15 | 2.52 | 1.22 | 0.75 | 2.3058 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1988 | None | None | None | None | None | None
R11: None | DAMMAN | 2.5 | 1.2 | 1.15 | 2.52 | 1.22 | 0.75 | 2.3058 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1866 | None | None | None | None | None | None
R12: None | DAMMAN | 2.5 | 1.2 | 1.15 | 2.52 | 1.22 | 0.75 | 2.3058 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 2084 | None | None | None | None | None | None
R13: None | DAMMAN | 2.5 | 1.2 | 1.15 | 2.52 | 1.22 | 0.75 | 2.3058 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2168 | None | None | None | None | None | None
R14: None | DAMMAN | 2.5 | 1.2 | 1.15 | 1.27 | 1.22 | 0.75 | 1.16205 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-10 | 0 | None | None | None | None | None | None
R15: None | DAMMAN | 2.5 | 1.2 | 1.15 | 1.27 | 1.22 | 0.75 | 1.16205 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-12 | 0 | None | None | None | None | None | None
R16: None | DAMMAN | 2.5 | 1.2 | 1.15 | 1.27 | 1.22 | 0.75 | 1.16205 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-13 | 0 | None | None | None | None | None | None
R17: None | DAMMAN | 2.5 | 1.2 | 1.15 | 1.27 | 1.22 | 0.75 | 1.16205 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-14 | 0 | None | None | None | None | None | None
R18: None | DAMMAN | 2.9 | 1.2 | 1.15 | 1.47 | 1.22 | 0.75 | 1.34505 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-10 | 2489 | None | None | None | None | None | None
R19: None | DAMMAN | 2.9 | 1.2 | 1.15 | 1.47 | 1.22 | 0.75 | 1.34505 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-12 | 2339 | None | None | None | None | None | None
R20: None | DAMMAN | 2.9 | 1.2 | 1.15 | 1.47 | 1.22 | 0.75 | 1.34505 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-13 | 2606 | None | None | None | None | None | None
R21: None | DAMMAN | 2.9 | 1.2 | 1.15 | 1.47 | 1.22 | 0.75 | 1.34505 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-14 | 2716 | None | None | None | None | None | None
R22: None | MANHATAN | 2.1 | 1.21 | 1.15 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1773 | None | None | None | None | None | None
R23: None | MANHATAN | 2.1 | 1.21 | 1.15 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1650 | None | None | None | None | None | None
R24: None | MANHATAN | 2.1 | 1.21 | 1.15 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 1862 | None | None | None | None | None | None
R25: None | MANHATAN | 2.1 | 1.21 | 1.15 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 1945 | None | None | None | None | None | None
R26: None | MANHATAN | 2.3 | 1.21 | 1.15 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1917 | None | None | None | None | None | None
R27: None | MANHATAN | 2.3 | 1.21 | 1.15 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1795 | None | None | None | None | None | None
R28: None | MANHATAN | 2.3 | 1.21 | 1.15 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 2017 | None | None | None | None | None | None
R29: None | MANHATAN | 2.3 | 1.21 | 1.15 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2106 | None | None | None | None | None | None
R30: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 2073 | None | None | None | None | None | None
R31: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1939 | None | None | None | None | None | None
R32: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 2195 | None | None | None | None | None | None
R33: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2273 | None | None | None | None | None | None
R34: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-10 | 2250 | None | None | None | None | None | None
R35: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-12 | 2100 | None | None | None | None | None | None
R36: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-13 | 2368 | None | None | None | None | None | None
R37: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-14 | 2473 | None | None | None | None | None | None
R38: None | MANHATAN | 2.9 | 1.21 | 1.15 | 1.47 | 1.23 | 0.75 | 1.356075 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-10 | 2600 | None | None | None | None | None | None
