ID=5897 | Cat=20 | Marca=ALMOFADAS DECORATIVAS     | Desc=45X45                                         | W=0.45 | D=0.45 | H=0.45 | PA=0.00 | M3=0.090
ID=5898 | Cat=20 | Marca=ALMOFADAS DECORATIVAS     | Desc=50X50                                         | W=0.50 | D=0.50 | H=0.50 | PA=0.00 | M3=0.130
ID=5899 | Cat=20 | Marca=ALMOFADAS DECORATIVAS     | Desc=55X55                                         | W=0.55 | D=0.55 | H=0.55 | PA=0.00 | M3=0.170
ID=5900 | Cat=20 | Marca=ALMOFADAS DECORATIVAS     | Desc=60X60                                         | W=0.60 | D=0.60 | H=0.60 | PA=0.00 | M3=0.220
ID=5901 | Cat=20 | Marca=ALMOFADAS DECORATIVAS     | Desc=65X65                                         | W=0.65 | D=0.65 | H=0.65 | PA=0.00 | M3=0.270
ID=5902 | Cat=20 | Marca=ALMOFADAS DECORATIVAS     | Desc=70X70                                         | W=0.70 | D=0.70 | H=0.70 | PA=0.00 | M3=0.340
ID=5906 | Cat=20 | Marca=ALMOFADAS DE RIM          | Desc=100X30                                        | W=1.00 | D=0.30 | H=0.30 | PA=0.00 | M3=0.090
ID=5903 | Cat=20 | Marca=ALMOFADAS DE RIM          | Desc=70X30                                         | W=0.70 | D=0.30 | H=0.30 | PA=0.00 | M3=0.060
ID=5904 | Cat=20 | Marca=ALMOFADAS DE RIM          | Desc=80X30                                         | W=0.80 | D=0.30 | H=0.30 | PA=0.00 | M3=0.070
ID=5905 | Cat=20 | Marca=ALMOFADAS DE RIM          | Desc=90X30                                         | W=0.90 | D=0.30 | H=0.30 | PA=0.00 | M3=0.080
ID=4592 | Cat=20 | Marca=BANCO FLUX                | Desc=Banco                                         | W=1.60 | D=0.50 | H=0.43 | PA=0.00 | M3=0.340
ID=4593 | Cat=20 | Marca=BANCO FLUX                | Desc=Banco                                         | W=1.70 | D=0.50 | H=0.43 | PA=0.00 | M3=0.370
ID=4594 | Cat=20 | Marca=BANCO FLUX                | Desc=Banco                                         | W=1.80 | D=0.50 | H=0.43 | PA=0.00 | M3=0.390
ID=4595 | Cat=20 | Marca=BANCO FLUX                | Desc=Banco                                         | W=1.90 | D=0.50 | H=0.43 | PA=0.00 | M3=0.410
ID=4596 | Cat=20 | Marca=BANCO TOAD                | Desc=Banco                                         | W=1.60 | D=0.45 | H=0.45 | PA=0.00 | M3=0.320
ID=4597 | Cat=20 | Marca=BANCO TOAD                | Desc=Puff                                          | W=0.58 | D=0.50 | H=0.45 | PA=0.00 | M3=0.130
ID=4524 | Cat=19 | Marca=CADEIRA MIZUKI            | Desc=Cadeira Giratória - Base Em Lâmina de Natural | W=0.70 | D=0.65 | H=0.82 | PA=0.00 | M3=0.370
ID=4523 | Cat=19 | Marca=CADEIRA MIZUKI            | Desc=Cadeira Giratória - Base Em Tecido            | W=0.70 | D=0.65 | H=0.82 | PA=0.00 | M3=0.370
ID=4621 | Cat=21 | Marca=CAMA HARU                 | Desc=Cabeceira - Casal                             | W=1.55 | D=0.15 | H=0.90 | PA=0.00 | M3=0.210
ID=4619 | Cat=21 | Marca=CAMA HARU                 | Desc=Cabeceira - King Size                         | W=2.10 | D=0.15 | H=0.90 | PA=0.00 | M3=0.280
ID=4620 | Cat=21 | Marca=CAMA HARU                 | Desc=Cabeceira - Queen Size                        | W=1.75 | D=0.15 | H=0.90 | PA=0.00 | M3=0.240
ID=4624 | Cat=21 | Marca=CAMA HARU                 | Desc=Caixa e base - Casal                          | W=1.55 | D=1.97 | H=0.37 | PA=0.00 | M3=1.130
ID=4622 | Cat=21 | Marca=CAMA HARU                 | Desc=Caixa e base - King Size                      | W=2.10 | D=2.12 | H=0.37 | PA=0.00 | M3=1.650
ID=4623 | Cat=21 | Marca=CAMA HARU                 | Desc=Caixa e base - Queen Size                     | W=1.75 | D=2.07 | H=0.37 | PA=0.00 | M3=1.340
ID=4618 | Cat=21 | Marca=CAMA HARU                 | Desc=Casal                                         | W=1.55 | D=2.13 | H=1.05 | PA=0.00 | M3=3.470
ID=4616 | Cat=21 | Marca=CAMA HARU                 | Desc=King Size                                     | W=2.10 | D=2.28 | H=1.05 | PA=0.00 | M3=5.030
ID=4617 | Cat=21 | Marca=CAMA HARU                 | Desc=Queen Size                                    | W=1.75 | D=2.23 | H=1.05 | PA=0.00 | M3=4.100
ID=4627 | Cat=21 | Marca=CAMA KAZE                 | Desc=Casal                                         | W=1.48 | D=2.03 | H=1.10 | PA=0.00 | M3=3.300
ID=4625 | Cat=21 | Marca=CAMA KAZE                 | Desc=King Size                                     | W=2.03 | D=2.18 | H=1.10 | PA=0.00 | M3=4.870
ID=4626 | Cat=21 | Marca=CAMA KAZE                 | Desc=Queen Size                                    | W=1.68 | D=2.13 | H=1.10 | PA=0.00 | M3=3.940
ID=5912 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CABECEIRA - CASAL                             | W=3.06 | D=0.20 | H=1.10 | PA=0.00 | M3=0.670
ID=5910 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CABECEIRA - KING SIZE                         | W=3.61 | D=0.20 | H=1.10 | PA=0.00 | M3=0.790
ID=5911 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CABECEIRA - QUEEN SIZE                        | W=3.26 | D=0.20 | H=1.10 | PA=0.00 | M3=0.720
ID=5915 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CAIXA E BASE - CASAL                          | W=1.72 | D=2.05 | H=0.29 | PA=0.00 | M3=1.020
ID=5913 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CAIXA E BASE - KING SIZE                      | W=2.27 | D=2.20 | H=0.29 | PA=0.00 | M3=1.450
ID=5914 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CAIXA E BASE - QUEEN SIZE                     | W=1.92 | D=2.15 | H=0.29 | PA=0.00 | M3=1.200
ID=5909 | Cat=21 | Marca=CAMA KAZUMI               | Desc=CASAL                                         | W=3.06 | D=2.25 | H=1.10 | PA=0.00 | M3=7.570
ID=5907 | Cat=21 | Marca=CAMA KAZUMI               | Desc=KING SIZE                                     | W=3.61 | D=2.40 | H=1.10 | PA=0.00 | M3=9.530
ID=5908 | Cat=21 | Marca=CAMA KAZUMI               | Desc=QUEEN SIZE                                    | W=3.26 | D=2.35 | H=1.10 | PA=0.00 | M3=8.430
ID=4639 | Cat=21 | Marca=CAMA TORINO               | Desc=Casal                                         | W=1.57 | D=2.07 | H=1.00 | PA=0.00 | M3=3.250
ID=4637 | Cat=21 | Marca=CAMA TORINO               | Desc=King Size                                     | W=2.12 | D=2.22 | H=1.00 | PA=0.00 | M3=4.710
ID=4638 | Cat=21 | Marca=CAMA TORINO               | Desc=Queen Size                                    | W=1.77 | D=2.17 | H=1.00 | PA=0.00 | M3=3.840
ID=5921 | Cat=21 | Marca=CAMA YUMI                 | Desc=CABECEIRA - CASAL                             | W=2.08 | D=0.22 | H=1.02 | PA=0.00 | M3=0.470
ID=5919 | Cat=21 | Marca=CAMA YUMI                 | Desc=CABECEIRA - KING SIZE                         | W=2.63 | D=0.22 | H=1.02 | PA=0.00 | M3=0.590
ID=5920 | Cat=21 | Marca=CAMA YUMI                 | Desc=CABECEIRA - QUEEN SIZE                        | W=2.28 | D=0.22 | H=1.02 | PA=0.00 | M3=0.510
ID=5924 | Cat=21 | Marca=CAMA YUMI                 | Desc=CAIXA E BASE - CASAL                          | W=1.69 | D=2.06 | H=0.30 | PA=0.00 | M3=1.040
ID=5922 | Cat=21 | Marca=CAMA YUMI                 | Desc=CAIXA E BASE - KING SIZE                      | W=2.24 | D=2.21 | H=0.30 | PA=0.00 | M3=1.490
ID=5923 | Cat=21 | Marca=CAMA YUMI                 | Desc=CAIXA E BASE - QUEEN SIZE                     | W=1.89 | D=2.16 | H=0.30 | PA=0.00 | M3=1.220
ID=5918 | Cat=21 | Marca=CAMA YUMI                 | Desc=CASAL                                         | W=2.08 | D=2.28 | H=1.02 | PA=0.00 | M3=4.840
ID=5916 | Cat=21 | Marca=CAMA YUMI                 | Desc=KING SIZE                                     | W=2.63 | D=2.43 | H=1.02 | PA=0.00 | M3=6.520
ID=5917 | Cat=21 | Marca=CAMA YUMI                 | Desc=QUEEN SIZE                                    | W=2.28 | D=2.38 | H=1.02 | PA=0.00 | M3=5.530
ID=4525 | Cat=19 | Marca=CHAISE SOFT               | Desc=Chaise                                        | W=1.52 | D=1.52 | H=0.94 | PA=0.00 | M3=2.170
ID=4526 | Cat=19 | Marca=DAYBED FLORES             | Desc=Daybed fixa                                   | W=1.44 | D=1.44 | H=0.77 | PA=0.00 | M3=1.600
ID=4528 | Cat=19 | Marca=DAYBED FLORES             | Desc=Daybed fixa                                   | W=1.64 | D=1.64 | H=0.77 | PA=0.00 | M3=2.070
ID=4527 | Cat=19 | Marca=DAYBED FLORES             | Desc=Daybed giratória                              | W=1.44 | D=1.44 | H=0.77 | PA=0.00 | M3=1.600
ID=4529 | Cat=19 | Marca=DAYBED FLORES             | Desc=Daybed giratória                              | W=1.64 | D=1.64 | H=0.77 | PA=0.00 | M3=2.070
ID=3179 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:081 - 1Br:031)                   | W=1.12 | D=1.00 | H=0.88 | PA=0.00 | M3=0.990
ID=3173 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:081 - S/Br)                      | W=0.81 | D=1.00 | H=0.88 | PA=0.00 | M3=0.710
ID=3185 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:081 - S/Br - 1Mesa:060)          | W=1.41 | D=1.00 | H=0.71 | PA=0.00 | M3=1.000
ID=3180 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:091 - 1Br:031)                   | W=1.22 | D=1.00 | H=0.88 | PA=0.00 | M3=1.070
ID=3174 | Cat=18 | Marca=ESTOFADO AFFAIR           | Desc=Modulo (1Ass:091 - S/Br)                      | W=0.91 | D=1.00 | H=0.88 | PA=0.00 | M3=0.800
