Row   6 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:080 - S/br)                 | W=0.80 | D=1.08 | H=0.86 | PA=0.00 | M3=0.864 | Prices=[1589.69199375, 1630.0352249999999, 1693.43173125, 1751.06491875, 1814.461425, 1877.85793125, 1941.2544374999998, 2050.75749375, 2229.4203749999997]
Row   7 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:090 - S/br)                 | W=0.90 | D=1.08 | H=0.86 | PA=0.00 | M3=0.972 | Prices=[1703.1309749999998, 1746.42615, 1814.461425, 1876.3116749999997, 1944.34695, 2012.3822249999996, 2080.4175, 2197.9329749999997, 2389.66875]
Row   8 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:100 - S/br)                 | W=1.00 | D=1.08 | H=0.86 | PA=0.00 | M3=1.080 | Prices=[1819.38133125, 1865.6284500000004, 1938.30249375, 2004.3698062499996, 2077.0438499999996, 2149.7178937500003, 2222.3919375, 2347.9198312500007, 2552.7285]
Row   9 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:110 - S/br)                 | W=1.10 | D=1.08 | H=0.86 | PA=0.00 | M3=1.188 | Prices=[1963.7454375, 2012.9445, 2090.2573125000004, 2160.5416875, 2237.8545, 2315.1673125, 2392.480125, 2526.0204375000003, 2743.902]
Row  11 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:080 - 1Br:020)              | W=1.00 | D=1.08 | H=0.86 | PA=0.00 | M3=1.080 | Prices=[1809.0394875, 1860.3627000000001, 1941.0134625, 2014.3323374999998, 2094.9831, 2175.6338625, 2256.2846250000002, 2395.5904875, 2622.879]
Row  12 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:090 - 1Br:020)              | W=1.10 | D=1.08 | H=0.86 | PA=0.00 | M3=1.188 | Prices=[1951.1121000000003, 2005.3404, 2090.5563, 2168.0253000000002, 2253.2412, 2338.4571000000005, 2423.6730000000002, 2570.8641000000007, 2811.018]
Row  13 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:100 - 1Br:020)              | W=1.20 | D=1.08 | H=0.86 | PA=0.00 | M3=1.296 | Prices=[2068.2839624999997, 2125.4173499999997, 2215.1983875, 2296.8175125000002, 2386.5985499999997, 2476.3795874999996, 2566.160625, 2721.2369625, 2974.2562500000004]
Row  14 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:110 - 1Br:020)              | W=1.30 | D=1.08 | H=0.86 | PA=0.00 | M3=1.404 | Prices=[2229.723825, 2289.7623000000003, 2384.1084750000005, 2469.8777250000003, 2564.2239, 2658.570075, 2752.91625, 2915.877825000001, 3181.7625]
Row  16 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:080 - 1Br:020)              | W=1.80 | D=1.08 | H=0.86 | PA=0.00 | M3=1.944 | Prices=[2823.456103125, 2900.151975, 3020.6740593749996, 3130.239590625, 3250.761675, 3371.2837593749996, 3491.80584375, 3699.980353125, 4039.6335]
Row  17 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:090 - 1Br:020)              | W=2.00 | D=1.08 | H=0.86 | PA=0.00 | M3=2.160 | Prices=[3045.853715625, 3128.2660500000006, 3257.7711468750003, 3375.503053125, 3505.00815, 3634.513246875, 3764.01834375, 3987.7089656250005, 4352.677874999999]
Row  18 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:100 - 1Br:020)              | W=2.20 | D=1.08 | H=0.86 | PA=0.00 | M3=2.376 | Prices=[3298.194703125, 3386.3235000000004, 3524.8116093749995, 3650.7098906249994, 3789.1979999999994, 3927.6861093750003, 4066.17421875, 4305.380953125, 4695.665625]
Row  19 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:110 - 1Br:020)              | W=2.40 | D=1.08 | H=0.86 | PA=0.00 | M3=2.592 | Prices=[3517.8701906250003, 3611.71545, 3759.186571874999, 3893.2512281249997, 4040.72235, 4188.193471875, 4335.66459375, 4590.387440625, 5005.987875]
Row  21 | Model: ESTOFADO ANKUR            | Desc: Módulo (1Ass:080 - 1Me:055)              | W=1.35 | D=1.08 | H=0.86 | PA=0.00 | M3=1.458 | Prices=[1875.9524437499997, 1920.7314000000003, 1991.0983312500002, 2055.06826875, 2125.4352, 2195.80213125, 2266.1690625, 2387.71194375, 2586.0187499999997]
