--- Cells with Fills ---
Cell A10: val='FOTO' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell B10: val='REFERENCIA' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell C10: val='CÓDIGO ' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell D10: val='DESCRIPCIÓN' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell E10: val='DESC/VOL' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell F10: val='MARCA' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell G10: val='LARG.' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell H10: val='ALT.' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell I10: val='PROF.' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell J10: val='CANT.' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell K10: val='TOTAL M3' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell L10: val='FABRICACIÓN ' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell M10: val='TELA ' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell N10: val='OBSERVACIÓN' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell O10: val='DESPESAS' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell P10: val='UNIT DOLAR' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell Q10: val='TOTAL USD' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell B11: val='AREZZO' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C11: val='2442' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J11: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q11: val='620.1038461538461' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C13: val='17759' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J13: val='2' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q13: val='1360.2876923076924' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C15: val='3724' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J15: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q15: val='620.1038461538461' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell R16: val='Preço dolar 4,57' | type=solid | fg=FFFFFF00 | bg=FFFFFF00
Cell C17: val='17728' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J17: val='2' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q17: val='1360.2876923076924' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell R17: val='' | type=solid | fg=FFFFFF00 | bg=FFFFFF00
Cell R18: val='' | type=solid | fg=FFFFFF00 | bg=FFFFFF00
Cell B19: val='KYOTO' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C19: val='4439' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J19: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q19: val='332.87384615384616' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C20: val='8520' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J20: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
